title,original_air_date,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating
Uncut Femmes,2021-03-28,Chris Clements,Christine Nangle,32,17,701,1.22,6.5
Burger Kings,2021-04-11,Lance Kramer,Rob LaZebnik,32,18,702,1.24,6.7
Panic on the Streets of Springfield,2021-04-18,Matthew Nastuk,Tim Long,32,19,703,1.31,6.3
Mother and Child Reunion,2021-05-09,Jennifer Moeller,J. Stewart Burns,32,20,704,1.11,6.7
The Man from G.R.A.M.P.A.,2021-05-16,Mike Frank Polcino,Carolyn Omine,32,21,705,1.06,6.3
The Last Barfighter,2021-05-23,Timothy Bailey,Dan Vebber,32,22,706,1.02,7.4
The Star of the Backstage,2021-09-26,Rob Oliver,Elisabeth Kiernan Averick,33,1,707,3.48,4.4
Bart's in Jail!,2021-10-03,Steven Dean Moore,Nick Dahan,33,2,708,1.48,7.0
Treehouse of Horror XXXII,2021-10-10,Matthew Faughnan,John Frink,33,3,709,3.94,6.7
The Wayz We Were,2021-10-17,Matthew Nastuk,Joel H. Cohen,33,4,710,1.51,6.8
Lisa's Belly,2021-10-24,Timothy Bailey,Juliet Kaufman,33,5,711,1.83,6.8
"A Serious Flanders"" (Parts 1 & 2) ",2021-11-07,Debbie Bruce Mahan,Cesar Mazariegos,33,6,712,3.47,8.2
Portrait of a Lackey on Fire,2021-11-21,Steven Dean Moore,Rob LaZebnik & Johnny LaZebnik,33,8,714,3.97,8.2
Mothers and Other Strangers,2021-11-28,Rob Oliver,Al Jean,33,9,715,3.61,6.2
A Made Maggie,2021-12-19,Timothy Bailey,Elisabeth Kiernan Averick,33,10,716,3.9,6.3
The Longest Marge,2022-01-02,Matthew Nastuk,Brian Kelley,33,11,717,2.02,6.9
Pixelated and Afraid,2022-02-27,Chris Clements,John Frink,33,12,718,1.41,5.8
Boyz N the Highlands,2022-03-06,Bob Anderson,Dan Vebber,33,13,719,1.53,7.7
You Won't Believe What This Episode Is About – Act Three Will Shock You!,2022-03-13,Jennifer Moeller,Christine Nangle,33,14,720,1.14,6.7
Bart the Cool Kid,2022-03-20,Steven Dean Moore,Ryan Koh,33,15,721,1.04,6.5
Pretty Whittle Liar,2022-03-27,Mike Frank Polcino,Joel H. Cohen,33,16,722,1.1,6.4
The Sound of Bleeding Gums,2022-04-10,Chris Clements,Loni Steele Sosthand,33,17,723,0.95,6.2
My Octopus and a Teacher,2022-04-24,Rob Oliver,Carolyn Omine,33,18,724,0.97,5.9
Girls Just Shauna Have Fun,2022-05-01,Matthew Nastuk,Jeff Westbrook,33,19,725,1.03,6.6
Marge the Meanie,2022-05-08,Timothy Bailey,Megan Amram,33,20,726,0.85,6.6
Meat Is Murder,2022-05-15,Bob Anderson,Michael Price,33,21,727,1.0,6.7
Poorhouse Rock,2022-05-22,Jennifer Moeller,Tim Long,33,22,728,0.93,6.0
Habeas Tortoise,2022-09-25,Matthew Faughnan,Broti Gupta,34,1,729,4.15,6.5
One Angry Lisa,2022-10-02,Matthew Nastuk,Jessica Conrad,34,2,730,1.46,6.3
Lisa the Boy Scout,2022-10-09,Timothy Bailey,Dan Greaney,34,3,731,3.43,6.6
The King of Nice,2022-10-16,Debbie Bruce Mahan,Jessica Conrad,34,4,732,1.16,6.5
Not It,2022-10-23,Steven Dean Moore,Cesar Mazariegos,34,5,733,3.63,7.5
Treehouse of Horror XXXIII,2022-10-30,Rob Oliver,Carolyn Omine & Ryan Koh & Matt Selman,34,6,734,3.95,8.3
From Beer to Paternity,2022-11-13,Rob Oliver,Christine Nangle,34,7,735,4.77,6.4
Step Brother from the Same Planet,2022-11-20,Matthew Faughnan,Dan Vebber,34,8,736,1.21,6.5
When Nelson Met Lisa,2022-11-27,Steven Dean Moore,Ryan Koh,34,9,737,1.53,5.9
Game Done Changed,2022-12-04,Timothy Bailey,Ryan Koh,34,10,738,1.16,6.6
Top Goon,2022-12-11,Chris Clements,Joel H. Cohen,34,11,739,3.42,6.8
My Life as a Vlog,2023-01-01,Debbie Bruce Mahan,Jessica Conrad,34,12,740,1.02,5.9
The Many Saints of Springfield,2023-02-19,Bob Anderson,Al Jean,34,13,741,1.37,6.5
Carl Carlson Rides Again,2023-02-26,Mike Frank Polcino,Loni Steele Sosthand,34,14,742,1.18,6.1
Bartless,2023-03-05,Rob Oliver,John Frink,34,15,743,0.93,6.7
Hostile Kirk Place,2023-03-12,Steven Dean Moore,Michael Price,34,16,744,0.77,6.0
Pin Gal,2023-03-19,Chris Clements,Jeff Westbrook,34,17,745,0.86,6.4
Fan-ily Feud,2023-04-23,Timothy Bailey,Broti Gupta,34,18,746,1.0,5.2
Write Off This Episode,2023-04-30,Matthew Nastuk,J. Stewart Burns,34,19,747,0.89,5.8
The Very Hungry Caterpillars,2023-05-07,Gabriel DeFrancesco,Brian Kelley,34,20,748,0.82,6.7
Clown V. Board of Education,2023-05-14,Lance Kramer,Jeff Westbrook,34,21,749,0.77,6.3
Homer's Adventures Through the Windshield Glass,2023-05-21,Bob Anderson,Tim Long,34,22,750,0.87,5.9
